Th?i gia,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z
65200,0.01,0.02,0.94,0.05,0.03,1.01
65400,0.01,0.02,0.94,0.06,0.03,1.01
65600,0.02,0.02,0.95,0.05,0.03,1
65800,0.02,0.01,0.95,0.05,0.03,1.01
66000,0.02,0.02,0.95,0.05,0.02,1.01
66200,0.02,0.02,0.95,0.05,0.02,1
66400,0.02,0.02,0.95,0.05,0.03,1.01
66600,0.02,0.02,0.96,0.05,0.02,1.01
66800,0.02,0.01,0.95,0.05,0.02,1.01
67000,0.02,0.02,0.96,0.05,0.03,1.01
67200,0.02,0.02,0.95,0.05,0.02,1.01
67400,0.03,0.02,0.95,0.05,0.02,1.01
67600,0.02,0.02,0.95,0.06,0.02,1.01
67800,0.02,0.02,0.95,0.05,0.02,1
68000,0.02,0.02,0.96,0.05,0.03,1.01
68200,0.02,0.02,0.95,0.05,0.03,1.01
68400,0.02,0.02,0.96,0.04,0.02,1.01
68600,0.02,0.02,0.95,0.05,0.03,1
68800,0.02,0.02,0.95,0.05,0.02,1.01
69000,0.02,0.02,0.96,0.05,0.03,1.02
69200,0.02,0.02,0.95,0.05,0.02,1
69400,0.01,0.02,0.94,0.05,0.02,1.01
69600,0.02,0.02,0.96,0.05,0.02,1
69800,0.02,0.02,0.95,0.05,0.03,1.01
70000,0.02,0.02,0.95,0.05,0.02,1.01
70200,0.02,0.02,0.94,0.05,0.03,1
70400,0.02,0.02,0.95,0.05,0.03,1
70600,0.02,0.02,0.96,0.05,0.03,1.01
70800,0.02,0.02,0.95,0.05,0.02,1.01
71000,0.03,0.02,0.95,0.05,0.03,1.01
71200,0.02,0.02,0.96,0.05,0.03,1.01
71400,0.02,0.02,0.94,0.05,0.03,1.01
71600,0.02,0.02,0.95,0.05,0.03,1.01
71800,0.02,0.02,0.95,0.05,0.02,1.01
72000,0.02,0.02,0.96,0.05,0.03,1
